,ID,Date de creation,Societe,Transporteur,Quantite articles,Temps de passage,Temps init,Tems quantity,Temps total,Equipement
0,458,9/1/22 18:53,S1,UPS,10,360,3,10,13,"[0, 0, 0]"
1,459,9/1/22 18:53,S1,UPS,12,360,3,12,15,"[0, 0, 0]"
2,460,9/1/22 18:53,S1,UPS,10,360,3,10,13,"[0, 0, 0]"
3,461,9/1/22 19:12,S2,Colissimo Domicile,1,450,6,1,7,"[1, 0, 0]"
4,462,9/1/22 19:12,S2,Colissimo Domicile,3,450,6,1,7,"[1, 0, 0]"
5,463,9/1/22 19:12,S2,Colissimo Domicile,1,450,6,1,7,"[1, 0, 0]"
6,464,9/1/22 19:12,S2,Colissimo Domicile,2,450,6,1,7,"[1, 0, 0]"
7,465,9/1/22 19:12,S2,Colissimo Domicile,2,450,6,1,7,"[1, 0, 0]"
8,466,9/1/22 19:13,S2,Colissimo Domicile,1,450,6,1,7,"[1, 0, 0]"
9,467,9/1/22 19:13,S2,Colissimo Domicile,1,450,6,1,7,"[1, 0, 0]"
10,468,9/1/22 19:14,S2,Colissimo Domicile,3,450,6,1,7,"[1, 0, 0]"
11,469,9/1/22 19:14,S2,Colissimo Domicile,1,450,6,1,7,"[1, 0, 0]"
12,470,9/1/22 19:30,S3,Colissimo Point Relais,3,450,7,7,14,"[1, 1, 0]"
13,471,9/1/22 19:33,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
14,472,9/1/22 19:33,S4,Chronopost API Chrono 13 / Classic,2,420,6,1,7,"[0, 0, 0]"
15,473,9/1/22 19:33,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
16,474,9/1/22 19:34,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
17,475,9/1/22 19:34,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
18,476,9/1/22 19:34,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
19,477,9/1/22 19:34,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
20,478,9/1/22 19:34,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
21,479,9/1/22 19:34,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
22,480,9/1/22 19:34,S4,Colissimo Point Relais,3,450,6,2,8,"[0, 0, 0]"
23,481,9/1/22 19:34,S4,Colissimo Point Relais,4,450,6,2,8,"[0, 0, 0]"
24,482,9/1/22 19:34,S4,Chronopost API Relais colis,3,420,6,2,8,"[0, 0, 0]"
25,483,9/1/22 19:34,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
26,484,9/1/22 19:34,S4,Colissimo Domicile,4,450,6,2,8,"[0, 0, 0]"
27,485,9/1/22 19:34,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
28,486,9/1/22 19:34,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
29,487,9/1/22 19:34,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
30,488,9/1/22 19:34,S4,Colissimo Point Relais,2,450,6,1,7,"[0, 0, 0]"
31,489,9/1/22 19:34,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
32,490,9/1/22 19:34,S4,Colissimo Domicile avec Signature,1,450,6,1,7,"[0, 0, 0]"
33,491,9/1/22 19:34,S4,Colissimo Domicile avec Signature,1,450,6,1,7,"[0, 0, 0]"
34,492,9/1/22 19:35,S4,Chronopost API Chrono 13 / Classic,1,420,6,1,7,"[0, 0, 0]"
35,493,9/1/22 19:35,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
36,494,9/1/22 19:35,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
37,495,9/1/22 19:35,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
38,496,9/1/22 19:35,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
39,497,9/1/22 19:35,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
40,498,9/1/22 19:35,S4,Chronopost API Chrono 13 / Classic,3,420,6,2,8,"[0, 0, 0]"
41,499,9/1/22 19:35,S4,Colissimo Domicile,5,450,6,3,9,"[0, 0, 0]"
42,500,9/1/22 19:35,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
43,501,9/1/22 19:35,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
44,502,9/1/22 19:35,S4,Chronopost API Relais colis,1,420,6,1,7,"[0, 0, 0]"
45,503,9/1/22 19:35,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
46,504,9/1/22 19:35,S4,Chronopost API Relais colis,1,420,6,1,7,"[0, 0, 0]"
47,505,9/1/22 19:35,S4,Chronopost API Relais colis,2,420,6,1,7,"[0, 0, 0]"
48,506,9/1/22 19:35,S4,Chronopost API Chrono 13 / Classic,1,420,6,1,7,"[0, 0, 0]"
49,507,9/1/22 19:35,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
50,508,9/1/22 19:35,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
51,509,9/1/22 19:36,S4,Colissimo Domicile,3,450,6,2,8,"[0, 0, 0]"
52,510,9/1/22 19:36,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
53,511,9/1/22 19:36,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
54,512,9/1/22 19:36,S4,Chronopost API Chrono 13 / Classic,3,420,6,2,8,"[0, 0, 0]"
55,513,9/1/22 19:36,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
56,514,9/1/22 19:36,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
57,515,9/1/22 19:36,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
58,516,9/1/22 19:36,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
59,517,9/1/22 19:36,S4,Colissimo Domicile,5,450,6,3,9,"[0, 0, 0]"
60,518,9/1/22 19:36,S4,Colissimo Domicile avec Signature,4,450,6,2,8,"[0, 0, 0]"
61,519,9/1/22 19:36,S4,Chronopost API Relais colis,1,420,6,1,7,"[0, 0, 0]"
62,520,9/1/22 19:36,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
63,521,9/1/22 19:36,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
64,522,9/1/22 19:36,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
65,523,9/1/22 19:36,S4,Chronopost API Relais colis,4,420,6,2,8,"[0, 0, 0]"
66,524,9/1/22 19:36,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
67,525,9/1/22 19:36,S4,Chronopost API Chrono 13 / Classic,1,420,6,1,7,"[0, 0, 0]"
68,526,9/1/22 19:37,S4,Chronopost API Chrono 13 / Classic,2,420,6,1,7,"[0, 0, 0]"
69,527,9/1/22 19:37,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
70,528,9/1/22 19:37,S4,Colissimo Domicile,3,450,6,2,8,"[0, 0, 0]"
71,529,9/1/22 19:37,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
72,530,9/1/22 19:37,S4,Chronopost API Chrono 13 / Classic,1,420,6,1,7,"[0, 0, 0]"
73,531,9/1/22 19:37,S4,Colissimo Domicile,3,450,6,2,8,"[0, 0, 0]"
74,532,9/1/22 19:37,S4,Colissimo Point Relais,2,450,6,1,7,"[0, 0, 0]"
75,533,9/1/22 19:37,S4,Colissimo Point Relais,2,450,6,1,7,"[0, 0, 0]"
76,534,9/1/22 19:37,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
77,535,9/1/22 19:37,S4,Colissimo Domicile avec Signature,1,450,6,1,7,"[0, 0, 0]"
78,536,9/1/22 19:37,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
79,537,9/1/22 19:37,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
80,538,9/1/22 19:37,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
81,539,9/1/22 19:37,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
82,540,9/1/22 19:37,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
83,541,9/1/22 19:37,S4,Colissimo Domicile avec Signature,2,450,6,1,7,"[0, 0, 0]"
84,542,9/1/22 19:37,S4,Colissimo Domicile,4,450,6,2,8,"[0, 0, 0]"
85,543,9/1/22 19:38,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
86,544,9/1/22 19:38,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
87,545,9/1/22 19:38,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
88,546,9/1/22 19:38,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
89,547,9/1/22 19:38,S4,Chronopost API Relais colis,2,420,6,1,7,"[0, 0, 0]"
90,548,9/1/22 19:38,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
91,549,9/1/22 19:38,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
92,550,9/1/22 19:38,S4,Colissimo Point Relais,4,450,6,2,8,"[0, 0, 0]"
93,551,9/1/22 19:38,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
94,552,9/1/22 19:38,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
95,553,9/1/22 19:38,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
96,554,9/1/22 19:38,S4,Colissimo Domicile,3,450,6,2,8,"[0, 0, 0]"
97,555,9/1/22 19:38,S4,Colissimo Point Relais,3,450,6,2,8,"[0, 0, 0]"
98,556,9/1/22 19:38,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
99,557,9/1/22 19:38,S4,Colissimo Domicile,3,450,6,2,8,"[0, 0, 0]"
100,558,9/1/22 19:38,S4,Chronopost API Chrono 13 / Classic,2,420,6,1,7,"[0, 0, 0]"
101,559,9/1/22 19:39,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
102,560,9/1/22 19:39,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
103,561,9/1/22 19:39,S4,Colissimo Point Relais,2,450,6,1,7,"[0, 0, 0]"
104,562,9/1/22 19:39,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
105,563,9/1/22 19:39,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
106,564,9/1/22 19:39,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
107,565,9/1/22 19:39,S4,Chronopost API Relais colis,1,420,6,1,7,"[0, 0, 0]"
108,566,9/1/22 19:39,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
109,567,9/1/22 19:39,S4,Chronopost API Relais colis,2,420,6,1,7,"[0, 0, 0]"
110,568,9/1/22 19:39,S4,Chronopost API Chrono 13 / Classic,4,420,6,2,8,"[0, 0, 0]"
111,569,9/1/22 19:39,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
112,570,9/1/22 19:39,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
113,571,9/1/22 19:39,S4,Colissimo Domicile avec Signature,4,450,6,2,8,"[0, 0, 0]"
114,572,9/1/22 19:39,S4,Colissimo Domicile,3,450,6,2,8,"[0, 0, 0]"
115,573,9/1/22 19:39,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
116,574,9/1/22 19:40,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
117,575,9/1/22 19:40,S4,Chronopost API Relais colis,1,420,6,1,7,"[0, 0, 0]"
118,576,9/1/22 19:40,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
119,577,9/1/22 19:40,S4,Colissimo Point Relais,2,450,6,1,7,"[0, 0, 0]"
120,578,9/1/22 19:40,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
121,579,9/1/22 19:40,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
122,580,9/1/22 19:40,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
123,581,9/1/22 19:40,S4,Chronopost API Chrono 13 / Classic,3,420,6,2,8,"[0, 0, 0]"
124,582,9/1/22 19:40,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
125,583,9/1/22 19:40,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
126,584,9/1/22 19:40,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
127,585,9/1/22 19:40,S4,Colissimo Domicile avec Signature,1,450,6,1,7,"[0, 0, 0]"
128,586,9/1/22 19:40,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
129,587,9/1/22 19:40,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
130,588,9/1/22 19:40,S4,Chronopost API Chrono 13 / Classic,2,420,6,1,7,"[0, 0, 0]"
131,589,9/1/22 19:40,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
132,590,9/1/22 19:40,S4,Colissimo Domicile,2,450,6,1,7,"[0, 0, 0]"
133,591,9/1/22 19:40,S4,Colissimo Domicile,4,450,6,2,8,"[0, 0, 0]"
134,592,9/1/22 19:40,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
135,593,9/1/22 19:41,S4,Chronopost API Relais colis,3,420,6,2,8,"[0, 0, 0]"
136,594,9/1/22 19:41,S4,Colissimo Domicile,1,450,6,1,7,"[0, 0, 0]"
137,595,9/1/22 19:41,S4,Colissimo Point Relais,1,450,6,1,7,"[0, 0, 0]"
138,596,9/1/22 19:41,S4,Chronopost API Relais colis,1,420,6,1,7,"[0, 0, 0]"
139,597,9/1/22 19:44,S5,DHL,12,360,4,3,7,"[0, 0, 1]"
140,598,9/1/22 19:45,S5,DHL,10,360,4,3,7,"[0, 0, 1]"
141,599,9/1/22 19:45,S5,DHL,6,360,4,2,6,"[0, 0, 1]"
142,600,9/1/22 19:45,S5,DHL,12,360,4,3,7,"[0, 0, 1]"
143,601,9/2/22 2:25,S6,Colissimo Domicile avec Signature,1,450,5,3,8,"[1, 1, 0]"
144,602,9/2/22 2:34,S6,Colissimo Domicile avec Signature,7,450,5,18,23,"[1, 1, 0]"
145,603,9/2/22 3:52,S7,Colissimo Domicile,1,450,2,1,3,"[0, 0, 0]"
146,604,9/2/22 6:21,S8,Colissimo Domicile,1,450,2,1,3,"[0, 0, 0]"
147,605,9/2/22 6:21,S8,Colissimo Domicile,2,450,2,2,4,"[0, 0, 0]"
148,606,9/2/22 6:21,S8,Mondial Relay Retrait,2,540,2,2,4,"[0, 0, 0]"
149,607,9/2/22 7:30,S3,Colissimo Domicile,2,450,7,5,12,"[1, 1, 0]"